Valid %,Distinct %,Adherence %,QED,Prompt,Model,Temperature
1.3,1.3,0.7000000000000001,0.6606944906930272,aromatic_core,GPT2-Zinc-87M,1.0
99.8,99.7,95.6,0.7612387382909149,amino_aliphatic,GPT2-Zinc-87M,1.0
99.7,99.7,93.7,0.7615505106020832,polar_ether,GPT2-Zinc-87M,1.0
99.8,99.7,90.4,0.7670519824025872,carbonyl_anchor,GPT2-Zinc-87M,1.0
0.1,0.1,0.0,0.4608669594186294,heterocycle_friendly,GPT2-Zinc-87M,1.0
94.8,94.8,91.2,0.7592198627467833,sulfur_phosphorus,GPT2-Zinc-87M,1.0
99.5,99.2,53.0,0.7735535273685269,extended_polar,GPT2-Zinc-87M,1.0
99.1,99.1,93.8,0.769005271374916,fallback_generic,GPT2-Zinc-87M,1.0
